,Name,Title,Body,Stars
884,Amazon Customer,Seguros,Muy bonitos,5.0
885,Nyx,Happy kiddos,"Great quality, not sticky or messy at all. Kiddos in my daughter's class loved these.",5.0
886,LoraAB,Best slim,"Not sticky, best slime for little ones!!",5.0
887,KMP,What a mess...,"It's hard to be happy when they arrive like this. When I received the box I didn't even need to open it to know there was a mess inside. The box was soggy wet with slime and falling apart. I can't even return it because it was just a pile of wet goop and the box literally fell apart. The balls are cute looking... Though I did expect them to be slightly larger. It's fairly non-sticky on hands, but DO NOT get it on fabric. The couch is literally ruined where the slime leaked on it. The slime fused to the microfiber and has been impossible to get off. It's mind boggling that they don't protect them better for shipping. What a waste.",1.0
888,russell balcomb,Oh wow.... ewww...,Now some spheres contained fun slime and others had the nastiest stickiest glop inside that was partially disintegrated and absolutely no fun!,3.0
889,J. Gideon,Wonderful slime,Purchase these for gift bags for my daughter’s birthday party.  The slime isn’t super sticky.  Overall a great purchase,5.0
890,Tanya Babar,Simple cheap slime,It is very jiggy. Not much to play with.,3.0
891,A Martinez,Easy party favors,Used these slime filled balls as birthday party favors and they were a hit with the kiddos.,5.0
892,Lambo,Tears apart,You can’t play with it. It tears apart right away. Retuned it right away. It was a disappointment for my kid,1.0
893,Savannah,Party favors,"The kids loved it, parents not so much. Was great for party favors",5.0
894,Vivian,Love,Kids love it!!,5.0
895,linz66,love it!!,love them!!! definitely recommend buying. My kids had a lot of fun!!,5.0
896,Lea B.,I hate slime and these are great!,These are not ooey gory slimes.  They are like putty.,5.0
897,EllieBea,Awesome!,Got these for my son’s birthday as party favors. The kids LOVED them! They smell good too,5.0
898,Emily Spierings,"Look very old, worn and scuffed","Product arrived very beat up looking (exterior box was perfectly fine). The box edges were very frayed and a little squished at the corners. Although the box damage wasn't enough to damage the slime balls, the balls looked very used. They looked all scraped up and felt dirty. Balls didn't look all that full and one had a small leak. If I didn't need them for party favors, I would have returned them.",2.0
899,x_kdeg,Damaged.,They seem great. But they came damaged. Quite a few were broken. Which was disappointing  because I needed all 24!,3.0
900,Amazon Customer,Kids Loved them,Awesome party favors to put inside treat bags.  The kids loved them,5.0
901,Jade Poe,Love it. As expected.,Love it. As expected.,5.0
902,Rochelle,Kids loved it,Big hit for my sons birthday party as prizes,5.0
903,AC,Great party favor!,Kids loved it!,5.0
904,Sol_Albe,Perfect party favor!,I got this for my kid's bday party and everyone loved it!! Nice presentation!,5.0
905,Jodi,"Chunky, messy waste of money","3 of the 24 cups were straight water. The other 21 seemed attractive in the packaging. However, when we opened and started playing with the slime, it didn’t stretch and didn’t even form back into one piece together. It fell into chunks in my hand, on my clothes, on my floor. Complete mess. Complete waste of my money and lame Halloween giveaway prize.",1.0
906,ivonne silva,The kids loved them,Great for kids treat bags,5.0
907,Rose,Great slime,Great,5.0
908,Amazon Customer,🌈🌈🌈🙂🙂🙂,The slime has lots of beautiful colors and is packaged very well.,5.0
909,Mel,Very cute!,Kids loved these. Perfect small size for treat bags!,5.0
910,Michael C,The slime breaks apart and doesn't stretch,"The packaging was well done. The balls each had a tight plastic wrap. I let my son open up a few that we didn't need.  We discovered that three of the slime balls we opened simply broke in half when we tried to stretch them. The slime broke in half within a quarter of an inch of stretching it.  If you ever made a similar DIY slime at home or school with your kids, it seems too much activator was added, causing this product to break like a soft gumball; Not stretch.",1.0
911,M.R.,Kids loved them,"Came exactly as described, packaging was good, kids loved them!",5.0
912,Melissa,Excellent for goody bags!,Kids love slime! Perfect for goody bags for my daughter’s bday!,5.0
913,Chris Zhu,Love it,My son love it. He is happy I m happy.,5.0
914,Traci Chiappetta,Great for Kids!,"Perfect for kids- school parties, bday favors, etc",5.0
915,mellowpanda,Fun!,Great price for a fun party favor or prize.,5.0
916,Amazon Customer,"Super Tiny, No 'Galaxy' Color To Them At All : (","These little containers of slime are all the same color - there is no 'galaxy' to them at all.When they arrived, they were liquified.  The containers are so small, I will have to give multiples as party favors.  : (",2.0
917,Raquel henriquez,Recomiendo la compra,Lo compre para mi hija y ella quedó encantada,5.0
918,Tiffany Yager,not sticky,Great slime for party favors!,5.0
919,Desiree,Great product,The kiddos loved this item in the treat bags!,5.0
920,Amazon Customer,Terrible,"The media could not be loaded.




 Don't waste time nor money most of them are just a liqthat never forms into slime. I will return this product.",1.0
921,Amazon Customer,"Not worth it, I am returning it asap!","The media could not be loaded.




 It was watery not slimy !  So disappointed..",1.0
922,Nancy  F,WHOLE FAMILY ENJOYED THEM,"GAVE THESE TO A 5 YR OLD, AND PARENTS ENJOYED THEM ALSO............",5.0
923,Tonianne ,Party favors smaller than the actual picture,Great for party favors,5.0
924,Albeluv,BAD PRODUCT,"THIS PRODUCT IS NOT AS DESCRIBE. THIS IS NOT AN ANXIETY RELIEF . ONE PACKAGE WAS OPENED AND IT LOOKS VERY AWFUL. ONE CANNOT EVEN HOLD IT TOGETHER, THIS IS NOT A SLIME. THIS CAN NEVER BE COMPARED TO SLIME AT ALL. POOR QUALITY AND FTS A FULL OF JUNK. I WASTED MY MONEY ON THIS PRODUCT FOR NOTHING. I WILL NEVER BUY THIS AGAIN, AND I DO NOT  RECOMMEND IT FOR ANYBODY, AM VERY DISAPPOINTED. BAD PRODUCT. THE WORSE PRODUCT EVER!! ZERO RATING",1.0
925,Amazon Customer,good,Good,5.0
926,Stephanie,This is not putty it is slime,"I returned this because it was more slime than putty. I expected stretchy putty given the description. It was somewhat wet, though not sticky at all. It just was not what I expected from the description.  If you want slime, this would be great and the colors are great.",2.0
927,Mickey,Perfect,Our kids loved these as party favors,5.0
928,Nicholas Purcell,Happy,Great product,5.0
929,Amazon Customer,very good slime balls,my grandchildren`s liked these slime ball a lot,5.0
930,Valerie,Great,Great,5.0
931,Mthoreson,Pure water,This item was nothing but pure water. I bought these for my son's birthday. I gave them to the quests who came and when they opened them it was pure water and not slimy at all. I would not waste money on these again,1.0
932,erika t,Goodie Bag Slime,Great to fill a goodie bag,5.0
933,Jamie,Not all galaxy slime,6 of the slimes were not even galaxy slime. They were some other slime balls with little toys/pieces in them that fall out.,2.0
934,Perez Ricardo,Gift bags,Perfect for gift bags,5.0
935,kiml,Not what we expected,"My 6yo old says, “it looks cool in the jar, but not fun to play with.” It breaks apart and leaves residue. I don’t recommend this product.",1.0
936,C olv,Very small.. not much slime and some are way to watery.. don’t waste money on this,"The media could not be loaded.




 Watery not slime",1.0
937,BJordan,Five stars,Great for party favors!,5.0
938,celia guevara,It worth the money!,I bought this product to add to the birthday goody bags. My daughter opened one for herself and it’s horrible. It breaks. I would return them but party is next day. I would love my money or at least half of my money back.,1.0
939,Kim M. Olson,Not like slime at all!,I was disappointed as this was not like slime at all. Was more like rubber texture. Didn't ooze thoughtfulness like in video. If I had something else as a last minute gift to put in my gift bag. I would return it.,2.0
940,Carol Hurlburt,Sunshine2146,"I guess I'm one of the people who got a bad batch!  Slime literally crumbled and wasn't even close to regular slime!  My grandchildren didn't enjoy it, because it didn't go back to a solid slime!  Am sending back!",1.0
941,Kyle Castanon,Don’t buy.,"Do not buy! I bought these for my child’s class treasure box contribution. I opened to make sure they were suitable and every single ball (individually wrapped) would just break open. No slime, just break. It was laughable. And just a FYI if (not even half) the balls had gems in them the gems were really really scary teeny tiny and weird. Just odd.",1.0
942,Amazon Customer,A+ seller,Fast delivery and lovely selection. thank you!,5.0
943,ragini,Loved it!,Kids loved it....nice colors,5.0
944,Mark Twain,Great for party favors,Kids loved it!,5.0
945,katiemalt,Good,Class room disturbution,5.0
946,AmazonUSA,Perfect party favors.,Kids loved them!,5.0
947,patricia jimenez,Kids loved it,The star of the party,5.0
948,i P.,Value for money,Best slime,5.0
949,Kathi,Perfect party favors,Perfect party favors,5.0
950,Price,Tiny,Wayyy smaller than I imagined,2.0
951,CaSandra D Smith,Good deal,Great party favors,5.0
952,MonsterButt,Not too happy,"Hate leaving bad reviews but, I bought this for my son as a Christmas gift because he loves Galaxy slimes. I wanted to see how well they stretched before wrapping them up. It seems our batch has way too much borax or something in it, they don't stretch at all, instead they break apart. With him having ADHD slimes help him relax but this just isn't going to do.",1.0
953,Rebecca Larson,This product is not as advertised.,These galaxy slime balls look nothing like the photo. The box says 24 colors. All but 5 are just a murky purple blob. The other 5 have rubber ducks and watermelons in them. That won’t work well with our alien themed gift bags for my son to hand out at school.,1.0
954,pinkaltima,It wasn't really even slime,"It wasn't like regular slime. It kept its form as a ball and when you would try to play with it,  it would just tear.",1.0
955,Lisa Y.,Not Slime!,"I have never written a review before.  I am so disappointed in this product, I just had to warn everyone not to waste their money.  The “slime” does not stretch at all.  It just breaks off.  I was going to put these in gift bags for my son’s birthday party, but they are going in the trash.  Do not buy.",1.0
956,Joshua,Not good slime,Initially we were so excited to find these small slime balls to use as some advent calendar fillers. Only to find out the slime inside seems old. As soon as we pulled the slime out of the plastic balls the ‘ripped’ apart. Although the kids were disappointed we did figure out you could microwave it for a couple seconds. Wouldn’t purchase these again.,1.0
957,Natalia Santiago,Ruins couches,"I have tried everything on google to help me figure out how to get rid of this slime from my new $5,000 couches & the stains are not coming off! :(",1.0
958,Chelsea & Nick Hetrick,"Eh, would not buy again.","The slime looks amazing in the little orbs but when you open it, it’s hard (not like slime) and bounces like a ball but will get debris stuck on it.",2.0
959,E.F,Not really slime,"Consistency is more like putty, breaks apart, doesn’t stretch. Great colors, just not stretchy.",2.0
960,Michelle J Arrindell,Fabulous,Awesome favor.,5.0
961,Danielle,It won’t last,"I bought these for my students to use when they finish work early or earn a brain break. They were devastated when six of them went gooey— too wet and sticky to use, one by one. They were stored high on a shelf and were not exposed to temperature changes or water. They created a huge mess. It was awful.",1.0
962,J W,Great!!!,Great !!!,5.0
963,Amazon Customer,Not worth it,They are squishy but there's zero stretch to the slime. Very disappointed,1.0
964,Vella Reeves,Too tiny,"Tiny quarter sized cups. Sent them back as fast as they came. I thought it would be something fun for the kids to ""sell"" at our yardsale, but these were ridiculous.",1.0
965,Jerry Taylor,Candy,great,5.0
966,Emma Jones,Only came with 19 pieces,I bought this product for a class party of 20 kids. It came the day before with only 19 slimes. Do not purchase.,1.0
967,Suzi,Don’t waste your money,"They didn’t come as slime- more like rubber balls- they broke apart straight out of the container. The ones that have little trinkets inside, they fly all over the floor. Company said they’d replace- what’s the point, it was for Christmas?",1.0
968,Sandigee,Expired,"I was excited that the slime came so quickly.  I purchased these to go into my kids Halloween treat bags, but because the slime has an expiration date of 06/21/2020, I am afraid to give these to the children.  I'm disappointed 😞",1.0
969,Richard P.,Not slime like,All the balls were dry. There was no stretching to them. Highly disappointed,2.0
970,CaliBee,Ugly Dark Color,All the slime was a dark ugly color.There was no mix of various colors.,2.0
971,cindy,Returned them,I returned this product very small! Not great for party favors if they were bigger would have been better! Seems like a price gouge for the size,1.0
972,Amazon Customer,Smells horrible- would not recommend,Cheap and smells horrible. Would not buy for kiddos.,1.0
973,Ann,Dry slime,Barely squeeze and the “slime” falls apart like.  Very brittle.  Go to Target and buy their $1 slimes.,1.0
974,Bermarys,"Muy pequeña,nada que ver con la foto","Muy pequeña,la verdad no era lo que esperaba",2.0
975,Mr. Holmes,Slime not Even slime it Broke apart,In the video it shows the slime stretched and pulled and actually slime I get it for my daughter and it's just thick and not one drop of sliming went on it just literally broke apart,1.0
976,sparkle wortham,Very tiny,,1.0
977,NLM,No slime here - solid orb. Don’t waste your $,"Horrible. All solid. No slime. Sadly, did not realize this until gift bags had been passed out at the birthday party. What a waste.",1.0
978,Aimee Shillingsburg,Did not like it,"It was to small, it’s to watery and it keep falling apart didnt stick together",1.0
979,Amazon Customer,Great,Ordered for party favors. The kids loved them and they’re not messy,5.0
980,B,Worst Chemical Smell,These break down over time and become sticky and are not useable. Also it has the WORST chemical smell. Ended up throwing these away. Do not recommend.,1.0
981,MMM,Tiny and Cheap,There are tiny and cheaply made. The slime was not galaxy like at all. It was one brown color and they all had oozed out from the lids.,1.0
982,jenny,Crumbly Mess- Not Slimy or Stretchy!,False Advertising- this is not stretchy or slimy.  It crumbles- what’s a kid supposed to do with that?,1.0
983,Dan Kimura,This is NOT the slime you’re looking for!,This is NOT the kind of slime your kids want! The slime is just like jello and once you smash it it breaks into pieces and won’t stick back together.,1.0
984,dan,Skip,Bought for a party but didn’t use. Did not like.,1.0
985,stephanie hannan,Rubbery but not slime,Unfortunately for us these were more like pull apart plastic balls rather than the slime consistency we were expecting.,1.0
986,francisca castano,Color doesn’t last,Color dulled within a few minutes of play. Looks brown now.,1.0
987,Alex,Photo says it all....,"Slime does not stretch, it crumbles into small pieces. If it gets on fabric, that fabric is ruined. Gives off sickening odor. Totally worthless. Don’t waste your money!",1.0
988,joana gonzalez,Not worth it,"The media could not be loaded.




 Horrible don’t recommend",1.0
989,JC,Not slime!,"It's not slime, not at all.  It crumbles.",1.0
990,Ela,Waste of money,This product is not slime. When my child tried to knead it and pull it it ripped into pieces.I wasted my money on this junk.,1.0
991,Kelly Brophy,Not happy,Every individual slime was hardened and unable to be played with,1.0
992,S. Gallick,Not stretchy,This slime is not stretchy. It breaks apart. I would not recommend this product.,1.0
993,Desiree Valera,Malisima calidad,"Este slime es terriblemente malo no tiene elasticidad y huele a jabon de lavar platos, mala inversion siento que perdi el dinero.",1.0
994,Chitstorm,Dissatisfied,"Nice colors,but this stuff is very stiff and not slime at all.",1.0
995,Tracy,Junk,Product expired almost a year ago!,1.0
996,Daquan R.,Unhappy,Just opened box right now and one of the tops was off and slime spilled all inside box,1.0
997,sher,hard and not slime at all,NOT SLIME.  HARD AND NOT STRETCHY.  WASTE OF MONEY!,1.0
998,m c,Not good for kids,Very watery,1.0
999,Amazon Customer,Very sticky and messy!,I would not recommend purchasing this product. It’s very messy to play with and just kept on sticking on kids’ hands.,1.0
1000,Timothy J Lager Jr.,Small tubs not worth it,Super small tubs. Maybe worth $5,1.0
1001,Cassidy Melendez,NOOOO,Wtf is this?! Don’t recommend.,1.0
1002,Kristine Walls,Dont buy,Opened 1 got moldy in 3 days in containers it came in.,1.0
1003,Jamie,Terrible$ don’t waste your money,Horrible. Way smaller then the picture stated,1.0
1004,Theresa Kissel,Dried out,Half were dried out. Don't buy this!,1.0
1005,M. Thw,Not slime!,Very disappointed because it’s not slime.,1.0
1006,wj boyd,Don’t last,Not very good,1.0
1007,Glamazing,Very watery - not what I'd imagine when I think of slime,It was extremely watery to the point it actually left water marks on every surface it sat on. It did not stretch much at all and broke apart very easily. The kids did not like it. I do not recommend this product.,1.0
1008,Becca,Terrible Slime,"Packaging is cute the with balls, but the kids could not play with it, not stretchy, broke into pieces. Had to throw away. Not worth the money. Disappointed.",1.0
1009,MissE,It crumbles into tiny pieces and doesn’t stretch *AT ALL*,"This slime acts more like jelly or something. It crumbles into tiny pieces and doesn’t stretch *AT ALL*. I don’t know if we got a bad batch or what, but none of the containers are usable so far. When we dump a container into our hand, it still keeps the basic shape of the container. So bummed because these were supposed to be prizes for school!",1.0
1010,Julia,This slime wasn't like slime. It balled up and was clumpy.,Slime didn't stretch. I wouldn't buy it again.,2.0
1011,JV,Slime has Terrible Consistency,"The slime I received is either old or just poorly manufactured. It has no stretch to it and breaks apart when pulled. I bought these as prizes for the kids in my class and they immediately brought to my attention that the slime was poor quality and did not stretch as it should. They were very disappointed. Don’t waste your money on this seller’s product, try your luck elsewhere.",1.0
1012,Mona,Great for party favors,This was great for party favors for my daughter's birthday party. The kids absolutely loved the slime and easy clean up off surface.,5.0
1013,Amanda Bovo,Perfect for kid party,Perfect for a kid party,5.0
1014,Aniyahmanuel,Very tiny,This is my 4 year old hand lol small size,1.0
1015,Vinyl Glitter Crafts,Great for Classroom parties!,"My granddaughter wanted to give galaxy slime to her classmates for Valentines. After reading many reviews I chose these. I saw that there were a few unhappy reviews but I took a chance hoped for the best. First it arrived early then expected Yea! I took the box out of the delivery bag and said a little prayer that they would be OK. Well when I opened the box they were beautiful!!! My two granddaughter couldn't wait to get I to them. We counted out enough for her class and they attacked the rest! They are very happy with the product. 👍 The ""slime"" really is more of a putty. Which I prefer. If you pull it apart fast it will break like a putty. The girls have been pulling it slowly and it will stretch like a slime. It's just not like traditional slime but the girls are very happy and enjoying the slime with items inside it. I would buy this again.",5.0
1016,Amazon Customer,Satisfy customers,"For a birthday party, kid loved it gave out as party favors",5.0
1017,Laura Seffer,Great for piñata!,"I got these for a kid’s party to put in the piñata and the kids loved them! The slime is great! Fit easily in the opening to the piñata. This was my error, but I should have taped them shut cause we did the piñata on concrete so a few broke open. On grass they would have been fine. Super happy with this purchase and my daughter was extatic!",5.0
1018,Carols ,Not sticky at all.,"My granddaughter loves all things slime, a slime expert she says. She loves this, the colors reminded her of the Aurora borealis. So not sticky, supper easy clean up, awesome slime!",5.0
1019,Rick,Clear and clean,My kids love it. I most definitely will buy this again.,5.0
1020,Lisa,Not slime.,Not like real slime. It doesn't stretch.,2.0
1021,Fred,😍🥰😍🥰,"These were also another hit for my son’s 8th bday in the goody bags and all the kids loved them! The parents did also since this alone does NOT stick to anything! Which I might also add means it is very slippery. But again, it does NOT stick to carpet, couches, clothing, or anything! And when some fell on the floor and got dirty, they washed them with a little water and they were brand new! Definitely buying these again!",5.0
1022,Tricia Hicks,So fun and unique !,These were great . I purchased these for my sons class to put in his bday treat bags . They were colorful and the texture for sensory was great and not like putty where it sticks to things and you can’t remove it . Loved the colors.,5.0
1023,Double T reviews,Very tiny as advertised!,"Last year I ordered galaxy slime for kids Halloween goodies, but not this one. I read the informations that seller wrote before bought it. It is the same as advertised. It is very tiny slime! So it will easy to clean if it dropped( because it is tiny). It is great for little kids and family(that not slime fan!!).For me, It is value the money because I got 24 slime to put in little kids Halloween goodies bags.",4.0
1024,Tiffany Roberts,Not sticky,"I usually avoid slime because it gets all over the place.  This product really isn’t sticky as advertised.  It’s not as stretchy, but I’ll take less stretch for something not sticky.  Perfect for kids party favor bags.",5.0
1025,Rachel Rifenberg,Great gift bag item,Great gift bag item,5.0
1026,Tracy C. Wilson,Leaves a grease film on clothes.,"Kids love this slime. Any mom would hate it. Leaves a grease film on table, clothes.",5.0
1027,Monica ,Fun size,Worth the money,5.0
1028,VC,Very cool,"Great party favor, perfect size and variations of color",5.0
1029,Juana Rios-adam,Perfect Party Favor!,"My son gave these to his Kindergarten class for his bday! It was a big hit, kids love slime!",5.0
1030,Kmarshall062000,Very satisfied!,Super cute!!! They are a lot smaller than expected but works perfectly for the party gift bags I intend to use them for!,5.0
1031,Alaya,Great !,I used this product to put in the goodie bags for my sons birthday and it was nice kids loved it,5.0
1032,Amazon Customer,great for the price,"Love the colors, the amount, the price and it is great for goody bags!",5.0
1033,Jenscentsy ,Colorful and fun but smaller than I expected,Colorful and fun but smaller than I expected,4.0
1034,KayLee Hickey,Fun for kids,Fun for kids.,5.0
1035,Ema,Galaxy party favor,These were cute and loved by the kids.,5.0
1036,Kindle Customer,Great quality,Beautiful,5.0
1037,Nikki  V.,Love this! Great for Goodie Bags.,"The media could not be loaded.




 Very happy with the product. I am putting these in goodie bags for my daughter’s kindergarten class. There is a row of slime that is not galaxy. I didn’t expect that, but it is fine. I will not use them all and will have some left over. The slime consistency is perfect for kids as it is thick and not sticky. It does stretch without breaking. I would purchase again.",5.0
1038,DeeDee,Great for goody bags,These were a great addition to birthday goody bags. Kids loved them! They were bigger than expected.,5.0
1039,Brenda Turner,Everything was great,"Out of this world, grandkids lived and so did grown ups.",5.0
1040,Jason Z.,Very good gift for kids,My girl likes it. Another great gift for stay home kids.,5.0
1041,Bethany Cordell,Great for treat bags!,I bought this for treat bags and it was a hit! All the kids loved it! I love that it isn’t sticky and wet like other slime.,5.0
1042,Kema,Small but still a hit,"Bought these as items for my prize box and my students loved them. Yes they are small, but it was enough for them and they liked it.",5.0
1043,Carlai Hayden,"Fun, but not like regular slime","The media could not be loaded.




 I like it. It's fun to play with in my hands. Did I read fully before buying nope. Which lead to a slight disappointment that it does not stretch. But that my fault for not reading the whole page.It's a great find tho. I love it and the the kids will too!!!",5.0
1044,BARBARA,EXCELENTE,EXCELENTE PRODUCTO,5.0
1045, Neerhs Aihpos,Definitely worth the price,"Great party favors, they have a clean smell to them, so many different types and color assortment, it's some of the best slime I've ever felt, love that they come in a little plastic ball!",5.0
1046,Kylie Shafer,These are worthless,Soooooo tiny that it’s absolutely pointless and worthless. Not to mention it’s not the right consistency so it just breaks apart into little tiny crumbles of slime and isn’t even able to be played with. HUGE waste of money and I’m super disappointed. They were bought as stocking stuffers for a preschool classroom because I thought they’d be nice but they’re such a waste of money.,1.0
1047,Tiwi,Valentine’s Day & Easter Baskets,"This product was perfect as trinkets to add towards the VDay & Easter Baskets that I made. The kids enjoyed them and asked for more. The slime has good stretch, soothing to play with, and was great value for the money. I would definitely repurchase!",5.0
1048,Rebecca Wilburn,Perfect amount,Kids love slime these days and this is a neat one to give good amount not too much but not too little. Colors are awey,5.0
1049,Jennifer,Kids loved them!,"The media could not be loaded.




 I got them as party favors for my girls 6th birthday and the kids loved them! They were not super slimey but they sure are fun and worth it.",5.0
1050,Ailen Arias,Slime cups,Muy lindos los compré para la fiesta de cumpleaños de mi hija,5.0
1051,HeeeeeyLui,This is the perfect party favor,This is a great value party favor,5.0
1052,Saylarry,Gelly,It’s gelly and my baby loves it. I love it too,5.0
1053,Talim,Not dry!,2nd year in a row purchasing for favor bags! Not dry and they're the perfect filler for the price. Cant beat a 24 pack!,5.0
1054,Vanessa,Big color variety!,"These are great for goodie bags at kids birthday parties. They’re so fun because there’s so many different colors to choose from and they’re all different. It was fun for my son to open the plastic ball and figure out what was inside. The putty is soft and stretchy but doesn’t get sticky or stain. When you roll it into a ball and set it down, it slowly flattens out. It even bounces a little... pretty cool!",5.0
1055,Bracey & Kirstin,Great gift,"Really cool slime! We got it for stocking stuffers for my daughters class, the kids were excited and my daughter has loved playing with it.",5.0
1056,Kindle Customer,Its exactly the slime you need!,The packaging is neat and just right for party favors. The actual product is fantastic. 👏🏽👏🏽👏🏽The swirl of colours dont muddy and continue to sparkle all how you squeeze and play. Cool to the touch. Grown me couldnt get enough. I know the children will be ecstatic.,5.0
1057,A. Leavitt,Easy to contain,Highly satisfied with this purchase. My 4 year old loved that he gave these to his friends and got to keep some. It doesn't leave a residue on your skin and is easily contained.,5.0
1058,Anissa Foster,I recommend,Prefect for party goodie bags . Mini size.,5.0
1059,TechMama,Great prize alternative to candy treats,"I got these as a nice reward alternative for my students instead of candy treats. They love them, the parents are happy I am not providing sugary treats, but I did get some interesting looks for choosing slime that can easily escape, from some of the moms. You win some, you lose some. I would rather have the kids happy and trying harder for this prize at the end of the day. 😄",5.0
1060,User from Cincy,Kid friendly,Colorful,5.0
1061,DonnaMB,cute,"I expected the cups containing the slime to be somewhat bigger then what they are. Nice size for little hands. good gift for gift bags for a birthday party. easy to clean up, stretches real far. dropped on carpet and did not do anything to the carpet.",4.0
1062,Miguel Rivera,"Yup, it's slime.",They're what I expected. Small cups of slime for what ever reason you may need them for. No issues when opened or anything else at this time.,5.0
1063,Tara Fehl,Great product! Great fun!,"These were awesome Party favors in my son's birthday goodie bags! The kids loved them, they even had little items in the slime like little duckies and stars.",5.0
1064,Carl,Well received by the kids...,"Kids loved it. At first they thought it was a ball, but were even happier when they realized it was slime.",5.0
1065,Elisabeth,Great for party favors,"Bought these for my daughter’s 10th bday party and they were a hit! The kids loved how you could lay it on a shirt sleeve and it wouldn’t stick, ha! Small but seemed to be a nice size for the kids. Very pretty design/colors, would order again!",5.0
1066,Heidi Gonzalez,Always check dimensions,They looked so much bigger than expected but they where used,5.0
1067,Marcin,It's great. I love it,"I bought it before my child's birthday and put it secretly in her schoolbag on her birthday. My baby likes it very much, and her friends also like it very much. It's a very good shopping!I will continue to buy it next time and recommend it to everyone",5.0
1068,Sasha Deleon,wonderful,I'm very happy and my kidos are going to so happy.,5.0
1069,Crystal,A lot for your buck,Great for party giveaways,5.0
1070,Brett p.,Is ok,The tubes were smaller than I would have liked. But it was a good party favor.,4.0
1071,Justin Strife,About half the size of a shot glass it's about a tablespoon of slime,Really really small. My fault for not reading enough.,2.0
1072,Sylvie D.,,"Offert à ma petite-fille pour un calendrier de l'Avent (Une boule chaque jour jusqu'à Noël). La présentation est super et a bcp plu à ma petite-fille (11ans). Le Slime, comme chacun sait a ses inconvénients, celui-ci n'y échappe pas, j'en ai trouvé collé sur les draps et c'est difficile à détacher...",
1073,Katharina,,"Ich hab die kleinen Schleimkugeln als Weihnachtsgeschenke an meine Vereinskinder verschenkt. Sie kamen super an! ""Guck mal, die glitzern!"" ""Und da sind kleine Sachen drin!"" Lediglich elastischer hätte ich sie erwartet.",
1074,maxwell,,"Seems good deal but price went up after I last purchase, too bad . Have to find something else",
1075,AK,,"You get many slimes, which is perfect for loot bags. However, they are very small and not much slime. Not a bad purchase but if I knew they would be this small, would have maybe considered something else.",
1076,Amazon Kunde,,Nicht zufrieden,
1077,Thomas Pinzke,,Tut was es soll und wofür es ist.Gute Qualität und gutes Preis / Leistungsverhältnis.Gerne wieder.,
1078,Mara,,Los compré para regalar a los compis de cole.Les gusto mucho. Ideal si quieres dar un detallito,
1079,Cliente Amazon,,"Le ho usate come regalino da dare alle bimbe per il compleanno di mia figlia seguito giochini fatti, erano il premio. Hanno avuto un successo super",
1080,Client d'Amazon,,Très belle qualité et doux au toucher.  Se remet facilement dans son contenants et reprend sa forme,
1081,Amazon Customer,,"The media could not be loaded.




 The galaxy slime comes in very tiny containers that are suitable for party favours only. The slime itself feels like mucous lol, the kids were kind of grossed out by it. Overall I feel like the product is overpriced.",
1082,Ruth,,"These slimes are incredibly good, their consistency is great, no residues all over... The colours were fun for the kids and the ones with the charms were lots of fun! They stretch well with some massaging just as indicated in the pack, will have them in mind for other birthdays... They were a hit! My kids and friends love them!",
1083,Ele Genov,,"Le sfere sono piccolette, lo slime e morbido ma non appiccica molto, ottimo perché non sorca gli abiti e si recupera bene. Alcune sfere hanno all'interno perline o animaletti, che piacciono alle bimbe. I colori sono vivaci e simpatici, prevalentemente sul blu e verde, ma anche rosa e arancio. Io le ho comprate come pensierino per i bimbi invitati alla festa di compleanno di mia figlia, avevano tutti tra 5 e 8 anni, e hanno apprezzato. Il prezzo è contenuto per il numero di perle presenti nella scatola: confezionate in una bella scatolina rettangolare colorata",
1084,Amazon Customer,,The colours are really cool but the quality of the slime sucks. There’s no stretch and once it breaks apart it doesn’t go back together. Then you get these tiny pieces of slime everywhere. I won’t buy again. Wish I could return it but opened a few containers already. Do not recommend.,
1085,Giovanna Caruso,,"Ho acquistato queste palline per aggiungerle alla gift box di fine festa per gli amichetti di mio figlio.  Nonostante alcune recensioni negative sulla consistenza dello slime,  ho rischiato, le ho scelte perché sembrano dei piccoli pianeti e sembravano perfette per il tema Spazio che avevamo scelto. Beh, siamo stati fortunati perché, oltre che davvero molto carine, lo slime all’interno aveva un’elasticità è una consistenza perfette.",
1086,AnGra,,"Ich habe diese Schleimkugeln für meine Tochter bestellt. Sie hat sich sehr darüber gefreut. Gut finde ich, dass es einzelne Kugeln sind und man nicht auf einmal einen riesen Schleimbatzen hat. So kann man immer mal eine Kugel öffnen und den "" Schleim"" nachdem Spielen wieder in der Kugel verstauen. Er sieht auch sehr schön aus und hat teilweise kleine Figuren drin. Was nicht so toll ist, dass er etwas chemisch riecht und man den Schleim leider nicht so ziehen kann, wie beschrieben. Er ist relativ fest und bricht schnell auseinander. Er klebt auch super auf Teppichen u.ä. Also hier aufpassen!",
1087,N. M.,,"Der Slime reißt leicht, damit tut er nicht was zu erwarten ist. Und er riecht stark nach Chemie. Daher nicht empfehlenswert.Nette Farben immerhin.",
1088,frances goyetche,,The price is a little high for the size,
